flatshare_id,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_ok,deposit,deposit(room_1),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),detail,disabled_access,double_room,furnishings,garage,garden_patio,gender,images,interests,language,living_room,location,max_age,maximum_term,min_age,minimum_term,nationality,num_flatmates,num_housemates,occupation,orientation,parking,pets_ok,postcode,property_type,references,rent,room_type,security_deposit,smoker,smoking_ok,station,station_distance,total_num_rooms,university,vegetarian_vegan
13924747,36,,No,Now,Yes,No,No,No,£750.00,,,,,,"I am looking for a flatmate to share a two bedroom two bathroom flat in south east London. A good sized double bedroom is available with exclusive use of the the main bathroom (other room has an en suite), and joint use of large lounge area that extends through to the kitchen.The flat is located on a hill with stunning views across central London (including the new years fireworks). There is a bus directly outside that runs between Lewisham and Brixton (P4) and it is just a 5 minute walk away from Honor Oak Park overground station (Zone 3) with direct links into London Bridge(30 mins), London Victoria, and Canada Water.The flat is very well located for easy walking access to East Dulwich, Peckham Rye Park, and Forrest Hill.Quiet residential area with lots of nearby green spaces and only a few minutes away from the Horniman Museum. Good supermarkets available within walking distance both in Honor Oak and Forrest Hill .Originally unfurnished, bedroom furnishings negotiable with existing tenant, shared spaces furnished.I am a 36 year old male professional working in the Civil Service. Non-smoking, enjoys baking and board games.Prospective tenant will need to go through standard checks with letting agent.Welcome any and all esquires, looking to find someone to move in ASAPPlease note the photos are of the previous tenants' furniture.",No,,Unfurnished,No,Yes,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/67/91/67918198.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/67/91/67918201.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/67/91/67918207.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/67/91/67918210.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/67/91/67918213.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/67/91/67918216.jpg""]",,English,shared,London SE23,,None,,12 months,British,1,,Available to all,,No,No,SE23Area,Flat share,Yes,£800 pcm,double En suite,,No,No,Honor Oak Park Station,0-5 minutes walk away,2,,
18051468,,25 to 45,No,Now,Yes,Yes,Yes,No,£500.00,,,,,,"A fantastic double room, fully furnished, with all new furniture and which has just beeb repainted, is available now in a friendly flat-share near Barnes Station. Short term let's are considered.You would be sharing with long-term, professional flatmates and sharing the living room, kitchen and two bathroom units (separate toilet). The property is well maintained and has a nice, homely environment.Everything is exactly like the pictures, if not better, and you have convenient access to Barnes Station and local buses taking you towards Putney, Hammersmith, Sheen and beyond.All bills are included, with fast fibre optic wifi and also includes council tax too.",,,Furnished,,,"1 Female, 2 Males","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145693.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145690.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145692.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145691.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145720.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145718.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/14/98145719.jpg""]",,,shared,Roehampton,50,None,21,3 months,,3,,Available to all,,Yes,No,SW15Area,Flat share,Yes,£690 pcm,double,,No,No,,,4,,
17570126,,,,Now,Yes,Yes,Yes,No,,£925.00,"£1,050.00",,,,"😩Fed up with chaotic flatshares that don’t match your lifestyle?✨Professional household, weekly cleaner and all bills included for total ease.📍 TRANSPORT LINKS🚇 Tooting Broadway Station – 3-minute walk (Zone 3)➡️ Northern Line to Bank in ~25 minutes➡️ Direct links to London Bridge, Elephant & Castle, King’s Cross🚌 Bus routes: 57, 333, G1, 131, 127➡️ Direct to London Victoria, Clapham, Streatham, and more🛋 OUR HOUSEMATE BENEFITS✔️ All Bills Included✔️ Weekly Cleaning✔️ Fully Furnished Double Room✔️ Minimal Bathroom Sharing✔️ Communal Area + Garden✔️ Fibre Wi-Fi✔️ 24/7 Maintenance Portal✔️ Premium Housekeeping Option Available✔️ Dedicated Property Manager✔️ Free COHO Annual Membership🏡 ARE YOU OUR PERFECT HOUSEMATE ?This home is for driven professionals who know that a calm, focused environment fuels success. We’re building a long-term household of like-minded achievers — 12-month tenancies only.📲 WANT TO VIEW TODAY ?Message us “Selkirk” on WhatsApp now to book your viewing today.📌 TERMS & CONDITIONS12-month minimum tenancyReferences requiredMinimum salary: £35,000+No petsNo Couples Allowed",No,,Furnished,No,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322922.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97656709.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/38/98385854.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/38/98385846.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322923.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322912.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322924.jpg""]",,,shared,Tooting Broadway,50,None,30,12 months,,,,Not suitable for students,,Yes,No,SW17Area,House share,Yes,£925 pcm,single,,,No,Tooting Broadway Station,0-5 minutes walk away,,,
18075233,,,No,Now,No,Yes,Yes,Yes,,£0.00,£0.00,£0.00,,,"3 large double rooms available now in the modern and dynamic area of Canary WharfExcellent location just 2 minutes walk from Limehouse Dlr Station! You can get to the city in less than 10 minutes.Easy and quick connection to central London!There are plenty of nearby amenities such as shops, supermarkets, cafes, gyms and restaurants!GET IN TOUCH FOR MORE PICTURES, VIDEOS AND INFOS ABOUT THE PROPERTY!Terms and conditions:Water, Wi-Fi and Council tax includedGas and Electricity not includedMaintenance includedComplimentary monthly cleaning service includedZERO deposit available subject to eligibilityWarm Regards,Francesco (English, Spanish, Italian and French speaker)",No,,Furnished,No,No,"1 Female, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350417.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350418.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350455.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350416.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350428.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350440.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/35/98350441.jpg""]",,,shared,Canary Wharf,,None,,None,,2,,Available to all,,No,No,E14Area,Flat share,Yes,£190 pw,double,,No,Yes,Limehouse Station,0-5 minutes walk away,5,,
17685062,,,,Now,Yes,Yes,Yes,Yes,,"£1,195.00","£1,250.00",£895.00,,,"We are excited to present three luxurious rooms available in a highly sought-after development along the picturesque bend of the River Thames. Located in one of Canary Wharf's premier riverside destinations on trendy Narrow Street, these rooms offer immediate access to the finest dining and entertainment options, including renowned establishments by Gordon Ramsay and Sir Ian McKellen.Nestled in the tranquil area of Limehouse, this location is perfect for commuters working in Canary Wharf and the City of London, with Limehouse DLR and West Ferry stations just a short distance away.**Available Rooms:**1. Beautiful Ensuite Room (available 30th Nov)Bathroom with a spacious layout and walk-in wardrobe, fully furnished with excellent additional storage.2. Large Double Room:- Perfect for single occupancy, boasting a cozy and comfortable bed for a restful night's sleep.Amenities Include:- Fully integrated kitchen with modern appliances- Free broadband- Parking available- Kingsize Room with TV- Washing machineLocation:- 0.1 miles to West Ferry- 0.3 miles to Limehouse- 0.3 miles to Canary WharfAll bills are included in the rent, making this an excellent opportunity for hassle-free living.Don’t miss out—contact us as soon as possible to secure your spot, as these rooms will go quickly!",Yes,,Furnished,Yes,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074407.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074400.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074401.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074406.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074404.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074403.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074405.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/07/95074402.jpg""]",,,No,Canary Wharf,,36 months,,2 months,,,,Available to all,,Yes,No,E14Area,Flat share,,"£1,195 pcm",double En suite,,,Yes,,,,,
18070861,,23 to 38,No,15 Dec 2025,No,Yes,Yes,No,£600.00,,,,,,"Warehouse Mezzanine Room with Horizon views and yoga space up for sublet. Big shared living space, and large kitchen. Sharing with 11.6 December till the end of Jan.If Mezz not preferred can put the mattress in the yoga space.",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312869.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312866.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312867.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312868.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312870.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312871.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312873.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312894.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312893.jpg""]","music, theatre, gigs, the arts",English,shared,London N15,40,2 months,20,2 months,South African,10,,Available to all,,Yes,No,N15Area,Flat share,No,£200 pw,double,,No,Yes,Manor House Station,5-10 minutes walk away,2,,
9506830,,40 to 47,Yes,Now,No,Yes,Yes,No,£250.00,,,,,,"Ciao,Looking for a private and comfortable space to call home? We have a stunning, spacious double room available in a recently renovated house in Oval, ready for move-in now. This is a single-use double room with an additional small bedroom, perfect for a home office, extra storage, or a relaxing retreat — two rooms at the price of one! ☺️What’s Included:• A spacious double room plus an adjacent small bedroom, ideal for a home office, extra storage, or relaxation space. The second room comes furnished with a desk, sofa bed, and wardrobe.• Modern, open-plan kitchen with a dining table included.• Clean, well-maintained house with a walk-in shower, bidet, and all the essential amenities.• No separate living room, but there is a beautiful garden and a shed with a washing machine and tumble dryer for your convenience.• Bicycle storage available.Ideal Location:Located within walking distance to Oval Station and just a few minutes’ walk to the main bus stop, commuting is a breeze! Plus, the property is just a stone is throw from Bruges Park and Myatt’s Field Park, offering peaceful spots for nature walks, relaxing outdoor time, or weekend picnics.Living Arrangement:You’ll be sharing the house with another 2 professional people only, ensuring a quiet and comfortable environment. It’s a great spot for those who value peace, privacy, and a relaxed atmosphere.Ah, and in the house, there’s also Marcin – a lovely and friendly cat who adds a warm and cozy touch to the home. He’s calm, affectionate, and a great companion if you enjoy the occasional purring companyLooking For:A quiet, professional, and respectful individual who values peace and tranquility. No smoking, parties, or drugs. Maximum respect for the house and housemates is a must.This is a fantastic opportunity to live in a clean, comfortable, and peaceful home in a prime location. If you’re a responsible tenant looking for a perfect space to work, relax, and unwind, this could be the ideal place for you!Looking forward to meeting you soon!A presto!",No,,Furnished,Yes,Yes,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/17/96178403.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/17/96178402.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/37/94379500.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/62/95621230.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/62/95621231.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/62/95621232.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/62/95621875.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/02/98024357.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/17/96178936.jpg""]",,English,No,Oval,55,None,23,6 months,Italian,,2,Available to all,,Yes,Yes,SW9Area,House share,Yes,"£1,175 pcm",double,,No,No,,,4,,
5822626,,,No,Now,Yes,Yes,Yes,No,£500.00,,,,,,"This is a great house in a good location with good transport links.  Opposite a large, green open space with open air gym.2 mins walk to East Acton central line tube - zone 2.20 minutes walk from Imperial RCA at White City or one stop on tube2.5 miles from Thames Valley, Ealing Campus3.4 miles from Imperial College4.4 miles from University of WestminsterClose to Westfields Shepherds Bush. Also close to Notting hill Gate, South Kensington.The roomsbuilt-in wardrobes desk chair double bed bedside cabinetBILLS ARE INCLUDEDAmenitiesWIFIwashing machine dryerdishwashersecure bike shedgarden back and front",No,,Furnished,No,Yes,"1 Female, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/76/94765307.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/13/98137142.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/76/94765301.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/13/98137144.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/76/94765283.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/76/94765288.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/13/98137145.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/21/98218399.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/21/98218400.jpg""]",,,shared,London W12,60,None,21,1 month,,,2,Available to all,,No,No,W12Area,House share,No,"£1,000 pcm",double,,No,No,East Acton Station,0-5 minutes walk away,3,Imperial College London (South Kensington Campus),
17923545,,22 to 33,No,28 Dec 2025,No,No,No,No,£900.00,,,,,,"Spacious double room available just steps from Hackney Central Station, perfectly located in the heart of Hackney. You’re surrounded by great cafes, shops, parks, and nightlife, with excellent transport links to central London.You’ll be sharing with 3 easy-going flatmates in a relaxed, respectful household. Ideal for someone friendly, clean, and looking for a comfortable spot in a vibrant area.Available ASAP for viewings.Utility bills are around 80-100£ per month.Look forward to meeting you :)",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091493.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091488.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091489.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091492.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/36/98368551.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/36/98368552.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091485.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091486.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/09/97091487.jpg""]",,English,shared,Hackney,40,None,20,3 months,,,3,Available to all,,No,No,E8Area,House share,No,£900 pcm,double,,No,Yes,Hackney Central Station,0-5 minutes walk away,4,,
13696933,,20 to 40,No,13 Dec 2025,No,Yes,Yes,Yes,£750.00,,,,,,"A super large room with its own garden for a couple, exactly like the photos , in Zone 2, close to transport, large supermarkets and shops 🍓The flat is located across from tranquil open spaces of Burgess Park. 9 minutes walk through the park to Tesco superstore and several other large shops, 12 minutes walk to ASDA superstore.20 to 40 minutes bus ride to various Central London locations including London Bridge, Westminster, Trafalgar Square, Piccadilly Circus, Oxford Circus... 4 minutes walk to bus stop.Everyone living here is tidy and considerate of others. 2 bathrooms, Large kitchen, front yard for keeping bicycles, and fast Internet.💰 Flexible term, the rent is discounted until March, £20 per week more afterwards. Couples are welcomed for an extra £30 per week. All bills and Council Tax are included in the rent. No agency, no fees.",No,,Furnished,No,Yes,4 Males,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/66/66/66664789.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/30/92304744.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/84/93849859.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/66/66/66664858.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/66/66/66664861.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/66/66/66664864.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/66/66/66664867.jpg""]",,,No,London SE15,55,None,18,None,,4,,Available to all,,Yes,No,SE15Area,Flat share,Yes,£220 pw,double,,No,No,,,5,,
