flatshare_id,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_ok,deposit,deposit(room_1),deposit(room_10),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),deposit(room_6),deposit(room_7),deposit(room_8),deposit(room_9),detail,disabled_access,double_room,furnishings,garage,garden_patio,gender,images,interests,language,lgbt_preferred,living_room,location,max_age,maximum_term,min_age,minimum_term,nationality,num_flatmates,num_housemates,occupation,orientation,parking,pets_ok,postcode,property_type,references,rent,room_type,security_deposit,single_room,smoker,smoking_ok,station,station_distance,total_num_rooms,university,vegetarian_vegan
17967619,,,,05 Jan 2026,,,,,,,,,,,,,,,,"About the FlatTop-floor studio in a period building on Fortess Road. If you know Kentish Town, the studio overlooks the beautiful Falkland Road, so you feel nice the moment you step outside.Two minutes from Kentish Town Station (Northern Line & Thameslink), walking distance to Camden and Tufnell Park. Good natural light, modern fixtures, works well for one person or a couple.⸻What’s Inside✨ Double queen bed and memory foam mattress (1200£), big white standing desk with, built-in wardrobe✨ Kitchen: induction hob, fridge/freezer, basic appliances, decent storage✨ Shower room with proper ventilation through a big double glazed window.✨ Large sash windows, leafy street views✨ Broadband connection ready✨ Comes furnished⸻Getting Around📍 Kentish Town Station: 2-minute walk🚇 Central London: 15 minutes direct🌿 Hampstead Heath nearby for weekend walks☕ Local cafes, pubs, and shops within walking distance🛒 Supermarkets and gyms close by⸻The SpaceCompact but well-designed layout. Room to work from the desk, relax on the bed, and cook without everything feeling on top of each other. Gets good light during the day.⸻As I’m living here myself at the moment, I’m looking for someone that I can trust. Let’s grab a coffee and get to know each other and see whether the space is right for you. I’m asking for a deposit just in case (open rent). I’m always here for you to communicate whether you have any issues with the flat and I’ll fix it right away :)I’m letting the flat as I want to move in with my partner 😊Happy to negotiate price and length of stay",,,Furnished,,,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443000.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443006.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443001.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443002.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443003.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97442998.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97442999.jpg""]",,,,own,Kentish Town,,12 months,,6 months,,,,Available to all,,,No,NW5Area,"Flat
        
        to rent",Yes,,,£900.00,,,No,,,,,
18083811,,27 to 28,No,15 Jan 2026,,No,Yes,No,"£1,000.00",,,,,,,,,,,"Cosy double room, with a large built in wardrobe, sharing a bathroom with 1 other (one of the rooms is en-suite).The room is available from ~15 Jan (we can be fairly flexible) for a yearlong tenancy (with possibility of extending). Rent is £875 + bills (£135 a month). deposit £1000.You’d be living with 2 girls - Lipi, who’s lovely works in tech (26) from New Jersey , and myself (28) currently working in Film. We’re both active, like living in a chill space, have our own lives but still have a good chat in the flat and get on v well, will go on the occasional cinema trip, do our nails together etc etc.The flat is super well connected - 5 min walk to Willesden Green tube (jubilee) - 20 mins to bond st + 30 mins to London bridge15 min walk to brondesbury + Brondesbury park overground.15 min walk to Queen's Park, 20 min walk to West Hampstead for pubs bars shops etc.",,,Furnished,,,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424636.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424637.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424635.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424638.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424639.jpg""]","reading, films, football, cinema, photography, theatre, nature, exercise, museums, basketball",,,shared,Willesden Green,28,None,27,3 months,,2,,Available to all,,Yes,No,NW2Area,Flat share,,£875 pcm,double,,,No,No,,,3,,
17480880,,18 to 48,No,27 Dec 2025,No,Some,Yes,No,£850.00,,,,,,,,,,,"Bright airy en-suite room, in a clean and safe area in North West London. 5-7 minutes walks (0.4 mile) from Northline Colindale tube station.10-15 minutes walk (0.6 mile)from Middlesex University.Bus 186,  125, 303, 204 are within 0.1 mile  and bus 113 within 0.3 miles.Tesco, Sainsbury, Japanese groceries, Chinese and Italian restaurants, Coffee, bar are within 0.1 mile.Rent £850 plus electric bills. Electric bill is about £33 to £55 per month per person. Rent includes access to the residential gym and spa (Jacuzzi, sauna, steaming).Bed room has 1 fitted wardrobes, 1 desk and chair, 2 chest of drawer and 1 king size bed.Current flatmate includes a full time professional, and a second year university student living in the other two rooms with family bath room and toilet. You will be sharing the kitchen.Preferably looking for a none smoking, none drinking female who is calm and prefer a quiet life style, who will not bring her boyfriend to sleep over in the flat.",Yes,,Furnished,No,No,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381974.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381975.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381976.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381979.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381982.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381980.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381981.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/38/93381984.jpg""]",reading,English,,No,Colindale,48,12 months,18,6 months,,2,,Available to all,,No,No,NW9Area,Flat share,Yes,£850 pcm,double En suite,,,No,No,Colindale Station,0-5 minutes walk away,3,,
18083740,,,,Now,No,,,,,,,,,,,,,,,"This charming ground floor flat in the heart of Camden comes fully furnished, featuring a spacious bedroom, cozy living area, and a modern kitchen. Bills are included (excluding electricity). Enjoy easy access to Camden's vibrant shops, restaurants, and excellent transport links. Available for immediate move-in. Contact us today to arrange a viewing!LocationSituated in vibrant Camden, residents will enjoy easy access to an array of eclectic shops, trendy boutiques, and diverse restaurants offering cuisines from around the world. Camden Market, famous for its unique stalls and vibrant atmosphere, is just a stone's throw away. Excellent transport links including Camden Town Underground Station (Northern Line) and numerous bus routes provide seamless connectivity to the rest of London.",No,,Furnished,No,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424105.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424115.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424110.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424104.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424097.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424098.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424099.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424113.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424114.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424116.jpg""]",,,,own,Camden,,None,,12 months,,,,Available to all,,No,No,NW1Area,"Flat
        
        to rent",Yes,,,"£1,730.00",,,No,Camden Town Station,10-15 minutes walk away,,,
18007775,,,No,25 Dec 2025,Yes,Yes,Yes,No,£200.00,,,,,,,,,,,"we are Indian family15 minute walk to Middlesex university,Shops near by and trains and busses are easy to access,400£ per month including all bills , with WiFi access",,,Furnished,Yes,Yes,Male,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/77/97775552.jpg""]",,,,No,West Hendon,,None,,None,,,1,Available to all,,Yes,No,NW9Area,House share,,£400 pcm,double,,,No,No,,,3,,
18083860,,,,Now,Yes,Yes,Yes,Yes,£0.00,,,,,,,,,,,"ADDRESS: ELM GROVE, NW2-Property is very clean and includes a fully equipped microwave, washing machine, fridge and separate freezer and cooker, wooden floor.WE OFFER:✅Electricity✅Water✅Council Tax✅Internet✅ Gas24/7 Maintenance & EmergencyRelocation service--Nice and friendly roommates, young professionals--**Shops, supermarkets, cafes and restaurants are just next to the property.*Safe area a lots of parks and sport centres*FLEXIBLE CONTRACT FOR LONG AND SHORT TERM LETS.Bedroom: Fully Furnished ( wardrobe, chest of drawers, bed , large windows, heating ...)DEPOSIT --> (2 Weeks)To move in we require:- 2 weeks rent- 1 off payment for utility billsConditions:- Minimum stay: NO- Notice to move out: 2 weeks- All bills inclusive with 1 off payment of 400£- Availability: NOWReferences:- ID/Passport or Driving licence- One month bank statementFor more details feel free to call or text me.I also speak Spanish, Italian, Portuguese & RomanianRegards,Maria",No,,Furnished,No,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425049.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425062.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425052.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425039.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425050.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425036.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425048.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425064.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425054.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425061.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425040.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425065.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425041.jpg""]",,,,shared,Cricklewood,,None,,None,,,,Available to all,,Yes,No,NW2Area,House share,No,£200 pw,double,,,,Yes,Kilburn Station,0-5 minutes walk away,,,
17986751,,30 to 50,No,08 Dec 2025,Yes,No,,No,"£1,500.00",,,,,,,,,,,"Double room with access to London Marylebone tube station 8 mins walk.Belvedere Heights is an exclusive, secure building in a superb location with easy access to Marylebone and St Johns Wood. A ground floor 3 bedroom apartment to rent in a secure, portered building. With a large private garden and secure access. Offered furnished. Available to professionals. The property is configured as 2 Double Bedrooms and 1 Ensuite Bedroom. Occupancy for the Double rooms are 1 person per room and the En-suite is 2 people.",,,Furnished,,Yes,"1 Female, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426608.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426610.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426609.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426611.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426607.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426653.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426655.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426654.jpg""]",,,,shared,London NW8,,12 months,,3 months,,2,,Not suitable for students,,,No,NW8Area,Flat share,Yes,"£1,420 pcm",double,,,No,No,,,3,,
17993848,35,,Yes,15 Dec 2025,Yes,Some,Yes,Yes,£600.00,,,,,,,,,,,"Hi, I’m Jd.I’ve got a quirky, bohemian-style flat filled with character, oddities, and a few antiques and a bit of an “art work in progress” vibe. It’s cozy, unique, and ready to live in, even though I’m still fixing up little bits here and there. And we have big dog called Savi staying a lot of the time these days as I’m often caring for him, he’s very friendly and cuddly.📍 Location:•	5 minutes’ walk from Chalk Farm Station•	15 minutes from Primrose Hill & Hampstead Heath•	Great transport links and a lovely quiet neighbourhood.•		Independent cafés & pubs plenty of cozy spots within walking distance•	 Shops & supermarkets, handy local options plus Camden High Street close by🛏 About the Room & Flat:•	The room is about 3m x 2.5m, with one window and space for a double bed, technically a single but large enough to be a cozy double.•	bedroom barely furnished, bring your own touch.•	You’ll be sharing the flat with me, but will feel like you live alone some times as I travel often for work.•	Shared kitchen and living space with plenty of natural light✨Just to give you a clear picture, the room is officially a single (3m x 2.5m), though it can fit a double bed and people have used it that way, as the room fits a double bed and desk so could be considered a cosy double. The bedroom has one window that brings in nice natural light.💡 Looking for:I’m looking for a flatmate with good, chill vibes, someone who’s not too loud, tidy enough to keep the place comfortable and appreciates a relaxed atmosphere.I’m often away, living in between London, Brighton and Berlin these days. So you’d have the place to yourself plenty of the time. And would be great if I could find someone dog friendly and wouldn’t minding sitting every once in a while.💰 Rent & Bills:600£ (+ deposit 1 month)Rent negotiableMessage me if interested.Most bills included.If that feels good to you, I’d be really happy to arrange a viewing so you can feel if the space works for you.Cheers,Jd",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/67/97672049.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97658103.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/69/97696911.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/69/97696909.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97658167.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424676.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97657682.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424688.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424717.jpg""]","music, gym, art, films, football, gaming, history, comedy, meditation, guitar, snowboarding, martial arts, documentaries, podcasts, d&d",English,,shared,Camden,69,None,18,1 month,English,1,,Available to all,,No,Yes,NW3Area,Flat share,No,£600 pcm,single,,,No,No,Chalk Farm Station,0-5 minutes walk away,2,,
18083674,,20 to 28,No,Now,No,Yes,Yes,No,£413.00,,,,,,,,,,,✨ Double Room Available – 5 Minutes from Middlesex University ✨A bright and spacious double room is now available just 5 minutes’ walk from Middlesex University—perfect for students or professionals!📍 Location Highlights:NW45 mins walk to Middlesex University7 mins walk to Hendon Central Station (Northern Line)15 mins walk to Brent Cross Shopping Centre💷 Rent:£412.50 per month – ALL bills included🏠 Room & House Features:Fully furnished double roomShared kitchen and bathroomHigh-speed WiFiClean and friendly environmentCurrent tenants all are Malayalies from kerala India📅 Available: ready to move in...,No,,Furnished,No,No,Males preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98423715.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98423716.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98423717.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98423718.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98423719.jpg""]",,Mixed,,No,Hendon,,None,,3 months,,,7,Available to all,,No,No,NW4Area,House share,No,£413 pcm,double,,,Yes,Yes,Hendon Central Station,0-5 minutes walk away,2,,
9428458,,33 to 48,No,Now,No,Yes,Yes,No,£740.00,,,,,,,,,,,"Spacious double room for short let in Willesden Green opposite Gladstone Park. Available from now untill late March 2026. I am flexible on moving in and out days as long as you stay minimum 3 months and move out by the end of March.We are looking for a friendly and sociable person who will fit in and feel like at home.The room has plenty of natural ligh, large wardrobe, book cabinet and double bed.The house is fully equipped and contains of spacious kitchen, two toilets, bathroom with bath and shower, living room, wide corridor, beautiful and big garden.The house is spacious, and you will always find your space.You will be living with 4 friendly and relaxed professionals who are busy with their own things, but we as well enjoy dinner together and good chat.There is a cleaner coming once a week and the house is kept  clean and tidy.Gladstone Park which is across the road has outdoor gym, tennis courts,, lots of greenery and is perfect for jogging or a walk.Nearest stations are Willesden Green zone 2 (12 minutes walk, Jubilee line), Dollis Hill zone 3 (12 minutes walk, Jubilee line), Cricklewood Thameslink (15 minutes walk, 10 minutes to Kings Cross St. Pancras), 226 bus which connects between Ealing Broadway and Golders Green (opposite the house). 10 minutes cycle to West Hampstead.Parking can be arranged on request.All bills are included (broadband, gas, electricity, council tax, water).One month security deposit required.When contacting me, please leave your telephone number to speed up the process :-).",No,,Furnished,No,Yes,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/19/94191708.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/19/94191710.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/90/49/90496199.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/78/80789459.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/89/91/89910552.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/40/49/40492513.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/86/37/86373775.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/78/80789454.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/40/28/40283677.jpg""]","yoga, cycling, nature, writing, mindfulness",English,,shared,Willesden Green,50,4 months,25,3 months,,,4,Available to all,,Yes,No,NW2Area,House share,No,£740 pcm,double,,,No,Yes,Willesden Green Station,10-15 minutes walk away,6,,
