flatshare_id,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_ok,deposit,deposit(room_1),deposit(room_10),deposit(room_11),deposit(room_12),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),deposit(room_6),deposit(room_7),deposit(room_8),deposit(room_9),detail,disabled_access,double_room,furnishings,garage,garden_patio,gender,images,interests,language,lgbt_preferred,living_room,location,max_age,maximum_term,min_age,minimum_term,nationality,num_flatmates,num_housemates,occupation,orientation,parking,pets_ok,postcode,property_type,references,rent,room_type,security_deposit,single_room,smoker,smoking_ok,station,station_distance,total_num_rooms,university,vegetarian_vegan
18084020,,,No,Now,No,Yes,Yes,Yes,£996.00,,,,,,,,,,,,,"📍 Location:Holloway Road – Zone 25–7 min walk to Holloway Road StationClose to supermarkets, restaurants, cafés & gymsVibrant area with great connections to King’s Cross & Central London🏡 What’s Included:🛏️ Fully Furnished Couple Room📶 Fast WiFi – Ideal for working from home🧼 Regular Cleaning of shared areas🔧 24/7 Maintenance Support💸 All Bills Included – Water & council tax(Gas/Electricity approx. £30/month)✨ Why Holloway Road?🌳 Safe and lively neighbourhood🚇 Excellent transport connections🛍️ Shopping, cafés, parks, and entertainment all around💼 Why Rent with Metro Places?🔄 Flexible room options for singles & couples🛡️ Secure, insured deposit💻 Smooth online booking process – perfect for internationals📩 Message Moha for more details or to book a viewing",No,,Furnished,No,No,2 Males,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426506.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426507.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426508.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426509.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426511.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426514.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426510.jpg""]",,,,No,Caledonian Road,,None,,None,,2,,Available to all,,No,No,N7Area,Flat share,Yes,£230 pw,double,,,No,No,Holloway Road Station,0-5 minutes walk away,3,,
2746622,36,,No,08 Dec 2025,Yes,Yes,Yes,No,,£750.00,,,,£775.00,,,,,,,,"2  Lovely   Double rooms for professional female roommate/s. Available early December.White   walls,  wooden   floors,   Sash   windows.   Light   &   Bright,   very   clean   Apt.   With  generous  garden.Contains  everything  you  need,  for  an  easy  move.Looking  for female roommate/s  preferred.  No  student’s  /  full  time  employees preferred.  No  wfh / hybrid  option unfortunately  due  to  confidential  nature  of  my  work.  (Fashion  brand  &  therapy  related)Must  be  employed  9 to 5  approximately  /  full  time,  5  days  per week  /  Monday to Friday -  outside  of  the  flat please. No WFH / Hybrid option available unfortunately.All  of  the  above  are  non  negotiable  I’m  afraid  due  to  reason  stated  above.I  will   try   my   best   to   accommodate   viewings   during   the   day   or   after   work   7   days   a   week,   where  possible. Virtual viewings initially(WhatsApp video call)Please   save   time   by   messaging  a   little   about   yourself,   what   you   do   for  work  /  work  schedule  /  hours,  age   and   interests etc   -   and   if   you're   a   good   fit   then   we'll  happily  arrange   a   viewing.Rooms contain  double   bed,   Shelving,   Chest   of  drawers,  Bedside   table,   wardrobe,   lamp,   mirrors,   waste   bin,   wash   basket   -   so they’re  furnished.Room/s  available   to   view   whilst  Ad’s  are  on   Spareroom   site.IDEAL   London   Bolt   hole   for   those   commuting   into   London   for   work.Close commute to various studio locations for those working in the film / tv industries.Close connections to central London also.Very   calm,  clean,   interior   designed   Apt,   with   professional,   respectful,   mature   tidy  female   flatmate/s   who   love   and   take   care   of   the   space.Room 1  £750  pcm  inclusive  of  bills*Room 2 £775  pcm inclusive of billsAvailable November 16thWe're   local  / walkable  to   cafe's,   restaurants   and   grocery   stores   (Starbucks   etc   +   indie   coffee   shops /  cafe's,   Tescos,   Waitrose,   M&S,   Aldi &  Sainsbury's   super   mkt.) clothing & homeware stores.Quiet,   safe   and   friendly   street,   beautiful   sought   after   neighbourhood.We're   within   walking   distance   of  great   parks/woods.  Walkable   to   Crouch   end,   Highgate,   Hampstead   and   close   to   Camden   etc.Located very close to A406 / North circular for commute by car outside of London.20-25   minutes   on   the   tube   from   Highgate   to   Tottenham   court   road  / central London  (Northern   Line)You   can   also   take   the   Piccadilly   line   or   the   Victoria   line   from   fairly   close   by.24   hour   buses   from   the   doorstep   every   3-5   minutes -  so   great   transport   connections.Generous   sunny   garden   w/patio   &  Balcony.The  Apt   is   on   the   1st   floor   of   a   Victorian   house   w/   Period   features/   High   ceilings/Original   fireplaces   and   sash   windows   etc.Apt.   was   fully   renovated   and   interior   designed   9  years   ago.Tasteful/modern   furniture,   fixtures   and   fittings   etc.You'd   be   living   with   1-2   friendly,   respectful,   self   contained,  professional,  mature,  clean,   calm,   hard   working   female   room   mates.One   works   from   home   full  time,   as  stated,  so   please   be   prepared   to   be   respectful   of   this.We   love   our   home,   its   our   tidy   peaceful   sanctuary!We   socialise   outside   of   the   Apt   the   vast   majority   of   the   time,   out   of  consideration   to   others   in   the   Apt.The   Apt   is   predominantly   where   we   relax/eat/work/catch   up &  sleep.Ideal   new   room   mate  would   be  full time clean  & tidy,  self  contained,  responsible,  mature,  peaceful,  respectful  and  also   respectful   of   others   in   the   space   and   the   Apt   itself.Must   be   in   full   time   professional   employment  (9-5 approx Monday to friday outside of the Apt)  and   respect   others   need   for   peace   and   quiet   -   These   are   the  key   requirements   please.We're   looking   for   someone   who   appreciates   and   respects   our   lovely   living   space,   respects   others   space  and  need  for  peace  and   is   prepared   to   contribute  and  to  clean   up   after   themselves,   as   we   keep   a   very   clean   home.Looking   for   25-45  yr   old  full time employed professional  females  preferred please.Close   to   the   buzz   of   Camden   &   Hampstead   heath   etc.Everything   you   need   is   on   the   doorstep   pretty   much,   and   at   the   weekends   it's   so   pretty   and   'villagey'   it   feels   like   you're   outside   of   London.   It's   a   lovely  safe & saught after neighbourhood.",,,Furnished,,Yes,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/31/30/3130500.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/20/93208020.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/45/31/4531368.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/20/97206024.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/93/50/93500092.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/32/68/32686918.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/32/68/32686906.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/42/92422067.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/17/95170189.jpg""]","travelling, yoga, photography, hiking, netflix, fashion, the arts, interior design",English,,No,London N10,45,None,25,1 month,British,1,,Not suitable for students,,Yes,No,N10Area,Flat share,Yes,£750 pcm,double,,,No,No,,,3,,
18083992,,27 to 30,No,08 Dec 2025,,Not known,Yes,No,£804.00,,,,,,,,,,,,,"Hello!We are looking for a new flatmate to rent a room in our lovely home!The house:Room Rent - £775 per monthBills come to roughly £115 - £125 a monthFlexible move in date, but need to fill before January 1st.The room is a spacious double in a Victorian terraced house. Comes with a double bed, wardrobe and set of drawers. We have a lovely living room and kitchen where we hang out. Kitchen fully equipped + dish washer (yay!). 2 full bathrooms. Separate laundry room with washing machine and dryer. There are actually 5 bedrooms in total, giving us a spare bedroom for if family/friend want to visit (we don’t rent this out in respect to the landlords who keep the rent decent for us in exchange of keeping this room free). Nice tall ceilings across the house. Alex’s favourite point to show off is our lovely garden, which is fairly huge and grows beautiful roses, grape vine and wildflowers in the spring.We are located within 15 minute walk of both Seven Sisters (Victoria line) and Turnpike Lane (Piccadilly line) tube stations. Can get you to Kings cross in 30 min and easily into central London very fast.Also a couple minutes walk from multiple nice parks, Tesco and Sainsbury’s. 15-20 minute walk to couple big Tescos/sainsbury/aldi - up for the choosing!Us & house vibes:We are three working professionals in our late 20s/ early 30s, so looking for someone similar. We are pretty chill generally as people. We keep a clean house overall and divvy up the cleaning that needs to be done. We are friendly and sociable whilst being respective of peoples space. Love a good pub trip or film/game night when we can but also happy to just chat over making dinner or slump on the sofa to watch some tv together after a long work day.  Alex (27- she/her) is originally American but has lived in the UK for 20 years. She works in Arts education and enjoys art, going to the pub, board games, and bagels. Jackson (30 - he/him) is from New Zealand. He works in the public sector and enjoys video games, watching Liverpool or a good series. Or (28 - he/him) grew up in the Netherlands. He is a doctoral student who used to enjoy reading until starting a PhD, running, and watching a good film.Drop us a message for more info and we can schedule a viewing! Room will be available from Jan 1.  Cheers! Alex, Or and Jackson",,,Furnished,,,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426207.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426202.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426203.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426204.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426201.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426205.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426206.jpg""]",,,,shared,Harringay,35,None,25,None,,,3,Available to all,LGBT household,,No,N15Area,House share,,£775 pcm,double,,,No,No,,,4,,
17982420,,,,Now,No,Yes,Yes,Yes,,,,,,£799.00,,,"£1,280.00",,,,,"# 🏡 Welcome to Your New Home in Finchley (N11)## 🌿 Why You’ll Love Halton CloseNestled on a quiet, leafy street, this freshly refurbished 5-bed HMO feels like a boutique house share. You’ll walk through bright, welcoming spaces and instantly notice the high-end touches – from stone-tiled bathrooms to a sleek, fully equipped kitchen. Whether you’re relaxing in the communal garden, firing up the built-in barbecue,, or catching up on work with reliable Wi-Fi, you’ll feel right at home. All utility bills, council tax, and super-fast internet are included, so you can move in and start living stress-free.## 🛌 Your Room Choices- 🛏️ Single room – £750 pcm (perfect for focused study or work)- 👑 Queen double room – £950 pcm (roomy enough for a comfy desk setup)- 🚿 Double ensuite room – £1,100 pcm (private bathroom included)- 🛋️ King-size ensuite room – £1,250 pcm (extra space to stretch out)- ✨ Premium ensuite room – £1,350 pcm (luxury finishes and views)## 🏠 Home Comforts & Community Vibe- 🍳 Brand-new kitchen with integrated appliances and plenty of storage- 🚿 Stone-tiled bathrooms, high-pressure showers, and heated LED mirrors- 🌐 Robust Wi-Fi network with boosters on every floor- ☀️ Light-filled bedrooms with neutral décor ready for your personal touch- 🌳 Shared garden complete with built-in barbecue for sunny afternoons## 🚆 Getting Around Easily- 🚉 New Southgate station (Great Northern line) – 14-minute walk- 🚇 Arnos Grove station (Piccadilly line) – 15-minute walk- 🚌 Bus stops 3–8 minutes away: Hillside Avenue (routes 134, 232, 234, 43) and Colney Hatch Lane (routes 232, 221)## 📍 Local Gems on Your Doorstep- 🛒 Tesco Express (24-hour) – 9-minute walk for groceries at any hour- 🏋️‍♂️ PureGym Friern Barnet – 12-minute walk to stay active- ☕️ A variety of cafés, pubs, and green spaces along Finchley High Road---✨ Ready to settle into a friendly household with like-minded people? Rooms are available immediately – get in touch today to book your viewing!📞 Contact us now and make Halton Close your new address.",No,,Furnished,Yes,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563516.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563488.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563500.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563501.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563502.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563504.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563505.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563506.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/56/97563509.jpg""]",,,,No,London N11,,None,,12 months,,,,Available to all,,Yes,No,N11Area,House share,Yes,"£1,100 pcm",(NOW LET),,,,No,New Southgate Station,10-15 minutes walk away,,,
18083049,,25 to 32,No,Now,,Yes,Yes,No,£0.00,,,,,,,,,,,,,"A bright and spacious en-suite room is coming available in our friendly shared house in Islington. You’ll be living with three lovely, clean and easy-going girls in their 20s/30s who enjoy a relaxed, homely vibe.🔑 Room Features:Private en-suite bathroomFully furnished (bed, storage, desk if needed)Plenty of natural lightQuiet and comfortable🏡 The House:Modern kitchen with all appliances and a common areaGarden/patio spaceFast Wi-FiSafe, residential streetBills included🚇 Location & Transport:Amazing access to multiple tube stations:Kentish Town (Northern Line)Caledonian Road (Piccadilly Line)Camden Town (Northern Line)Buses, shops, cafés, gyms, and parks all close by. Perfect for anyone who wants quick links across London and a vibrant neighbourhood on their doorstep.💷 Rent: £1326 per month📅 Available from: Now📩 Get in touch to arrange a viewing or ask any questions!",,,Furnished,,Yes,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418637.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418638.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418636.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418635.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418639.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418642.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418640.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418641.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/41/98418643.jpg""]","cooking, reading, sports, films, running, theatre, dancing, netflix, pubs, board games, technology, nights out, philosophy, meeting new people, healthy living",,,shared,Islington,40,None,,6 months,,,3,Available to all,,Yes,No,N7Area,House share,,"£1,325 pcm",double En suite,,,No,No,,,4,,
18083988,66,,Yes,Now,No,No,No,No,£750.00,,,,,,,,,,,,,"We have a lovely large room to rent with a view of our garden. It should be free from the second or third week in January. There is an original fireplace, a double bed with room underneath for storage, plenty of shelving, a small wardrobe and a clothes rail  and a little desk by the window that overlooks our garden. This is for just one person, not a couple, owing to pressure on the bathroom and kitchen.The room is in a terraced house just off Church Street. I own the house and live here with my 19-year-old daughter and our dog. Sorry, we can’t take any other pets – he is quite enough for us to manage! As we are an all-female household we feel more comfy with another female. We’ve shared our house with many lodgers over the years. We find that those who fit best often have busy lives of their own, as we do but we enjoy a chat in the kitchen as we come and go. I’m an ad creative and my daughter is currently on a gap year.There’s a kitchen with a dishwasher, a downstairs loo and an upstairs bathroom with a bath with a shower. There’s also a utility room. No tumble dryer.It’s a great location, just off Church Street but near the High Street. We are very close to Abney Park and Clissold Park is just a wander away past all the shops and cafes of Church Street. A little further is the famous Castle Climbing Centre and open water swimming reservoir. The leisure centre is nearby for indoor swimming, gym etc. There’s the Farmers Market at the weekend in the High Street. Transport links include buses on Church Street (73 heading for Angel and central London, the 393 to Highbury) buses on the High Street,(149 up to Seven Sisters tube or down to Dalston), Stoke Newington station is near.The rent is £750, paid by direct debit. . The deposit is one month’s rent, paid in advance. The bills are £140 a month which include utility bills, broadband, council tax, ( band E) TV licence, water. However, if the monthly usage on the utility bills increases then there will be additional charges. We don’t usually put the heating on during the working weekday. We all clean the house.A reference from an employer is required. We have had many people sharing our house with us over the years and especially love those from other countries. We find that people who have busy independent lives tend to fit best in the house. Sorry, there isn’t storage space outside your room other than a few pots and pans in the kitchen. There are bike storage units in the street which you can rent from the council.Drop me a message if you think you might like living here and fit in well, we really enjoy meeting people from other countries and people with interesting hobbies.",No,,Furnished,No,No,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426042.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426087.jpg""]",,English,,No,Stoke Newington,,36 months,,6 months,British,,2,Available to all,,No,No,N16Area,House share,Yes,£750 pcm,double,,,No,No,Stoke Newington Station,5-10 minutes by bus away,3,,
18083983,,,No,15 Dec 2025,No,Yes,Yes,No,,£780.00,,,,£850.00,,,,,,,,"Please text me your details e. g. occupation, preferred move-in date, and the length of stay you are looking for. I will get back to you as soon as possible if it is a suitable match.>Preferred Stay Duration:6–12 months.>Location:- 1-minute walk to Haringey Train Station (1 stop to Finsbury Park, Zone 2)- 24/7 bus connections to Central London- 3–4 minutes’ walk to Green Lanes High Street, with 24-hour shops, restaurants, and additional bus routes to Central London>Bills:All bills included except for electricity in the room, which is topped up by coins (£10-15per month).>Preferred Tenants:Young professionals or students who are tidy and seeking a long-term stay.",No,,Furnished,No,No,"2 Females, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426122.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426120.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426121.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426116.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426117.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426119.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426118.jpg""]",,,,No,Manor House,,None,,None,,,3,Available to all,,No,No,N4Area,House share,No,£780 pcm,double En suite,,,No,No,Manor House Station,5-10 minutes walk away,5,,
18083994,,,No,Now,Yes,Yes,Yes,No,,"£1,050.00",,,,"£1,100.00",,,,,,,,"Please text me your details. including your occupation, preferred move-in date, and the length of stay you are looking for. I will respond as soon as possible if it is a suitable match.• Preferred Stay Duration:10–12 months.• Location:- Situated directly beside Regent’s Canal, just a 10–15 minute walk from UAL St Martin’s and UCL- 5 minutes on foot to King’s Cross & St Pancras stations- Convenient bus stops directly outside the building for easy travel across the city• Room Features:- Double bed- Chest of drawers- Clothes hangers- Mini-fridge- Communal Kitchen- Fully equipped with a cooker, oven, microwave, washing machine, and dryer.• Bathrooms:- Three full shared bathrooms (toilet and shower).• Bills:- All bills included (including broadband)",No,,Furnished,No,No,"2 Females, 2 Males","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426214.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426213.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426215.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426216.jpg""]",,,,No,King's Cross,,None,,None,,4,,Available to all,,No,No,N1Area,Shared property,No,"£1,050 pcm",double,,,No,Yes,King's Cross / St. Pancras Station,0-5 minutes walk away,6,,
18084058,,30 to 33,No,Now,,No,Yes,No,"£1,263.00",,,,,,,,,,,,,"We have a great double room with en-suite available in our bright, airy, and spacious three bed flat near Crouch End.Room is large with plenty of cupboards for storage, and very bright thanks to large, double-glazed windows. It will be unfurnished apart from doubke bed base. All bedrooms in the flat have an en-suite so no need to share a bathroom with anyone either!  Combined lounge and kitchen is also incredibly spacious and gets a lot of light even in winter.Flat is on a lovely quiet street five minutes walk from gorgeous urban village of Crouch End and the relaxing nature strip of the Parkland Walk. Easy to get into the city thanks to being a 15 min walk to Archway (Northern Line), and 20 mins walk to Finsbury Park (Victoria, Piccadilly, and National Rail). Plenty of bus options too, including to both stations and the 91 route which runs to Charing Cross.Current flatmates are Gerald who works in international development, and Kaila working in food sales. We are both friendly and happy to have a chat over a coffee or the like, but sometimes works long or irregular hours and happy to give everyone space as well.Looking for someone friendly, relaxed, and tidy to join us. Preferably someone who works primarily in the office (although we WFH a bit as well and understand need for flexibility). No couples sorry.Move in date would be 6th January. Landlord is keen on a 6 month fixed term contract until the new legislation comes into effect in May.Please get in touch if this interests you and we’ll set up a viewing!Move in date would be 6th January.",,,Unfurnished,,,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426752.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426753.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426754.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426755.jpg""]",,,,shared,Archway,38,None,28,6 months,,2,,Not suitable for students,,,No,N19Area,Flat share,Yes,"£1,095 pcm",double En suite,,,No,No,,,3,,
18070861,,23 to 38,No,15 Dec 2025,No,Yes,Yes,No,£600.00,,,,,,,,,,,,,"Warehouse Mezzanine Room with Horizon views and yoga space up for sublet. Big shared living space, and large kitchen. Sharing with 11.6 December till the end of Jan.If Mezz not preferred can put the mattress in the yoga space.",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312869.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312866.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312867.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312868.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312870.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312871.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312873.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312894.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/31/98312893.jpg""]","music, theatre, gigs, the arts",English,,shared,London N15,40,2 months,20,2 months,South African,10,,Available to all,,Yes,No,N15Area,Flat share,No,£200 pw,double,,,No,Yes,Manor House Station,5-10 minutes walk away,2,,
